accuracy : 0.5152743142144637, loss : 0.10137051343917847, index : 400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5199667221297835, loss : 0.05973086506128311, index : 600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5235642946317094, loss : 0.08418793976306915, index : 800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5259740259740242, loss : 0.07168354094028473, index : 1000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5315362198168175, loss : 0.1389445960521698, index : 1200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5366702355460377, loss : 0.028722938150167465, index : 1400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5395065584009981, loss : 0.05066199228167534, index : 1600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5419905607995539, loss : 0.06924425065517426, index : 1800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.545039980009993, loss : 0.11095619201660156, index : 2000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5477055883689212, loss : 0.03442104905843735, index : 2200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5485735110370661, loss : 0.04433410242199898, index : 2400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5488273740868876, loss : 0.052852410823106766, index : 2600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5501160299892883, loss : 0.0365743525326252, index : 2800, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5530239920026653, loss : 0.035176802426576614, index : 3000, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5552952202436724, loss : 0.0683569386601448, index : 3200, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.557299323728313, loss : 0.06325552612543106, index : 3400, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5589072479866679, loss : 0.16786113381385803, index : 3600, learning_rate : 5.657e-06, reg : 1e-05, batch_size : 8 

