accuracy : 2.125, loss : 0.08279644697904587, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 1.9825870646766168, loss : 0.1988469511270523, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.125, loss : 0.04454508051276207, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 2.125, loss : 0.041659995913505554, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.375, loss : 0.4025062620639801, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5, loss : 0.11223900318145752, index : 0, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5259900990099008, loss : 0.046489518135786057, index : 100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.544776119402985, loss : 0.024458112195134163, index : 200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5465116279069766, loss : 0.041688937693834305, index : 300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.551122194513716, loss : 0.04929453134536743, index : 400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5511477045908184, loss : 0.07775460183620453, index : 500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.557196339434276, loss : 0.07376682758331299, index : 600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5558131241084171, loss : 0.15595166385173798, index : 700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5552434456928844, loss : 0.07238657772541046, index : 800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.555771365149834, loss : 0.04645911976695061, index : 900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5571928071928076, loss : 0.0036778165958821774, index : 1000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5569936421435066, loss : 0.0747673287987709, index : 1100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5542256452955874, loss : 0.02726466953754425, index : 1200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5544773251345123, loss : 0.006535317748785019, index : 1300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5558529621698785, loss : 0.11056805402040482, index : 1400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5572118587608256, loss : 0.055739447474479675, index : 1500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5605871330418486, loss : 0.012887728400528431, index : 1600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5606995884773656, loss : 0.009630496613681316, index : 1700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5618406440866183, loss : 0.02714407816529274, index : 1800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5640452393477114, loss : 0.008734415285289288, index : 1900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5655922038980508, loss : 0.10794124007225037, index : 2000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5662184673964776, loss : 0.0948370099067688, index : 2100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.566560654248069, loss : 0.025461561977863312, index : 2200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5673076923076922, loss : 0.07423168420791626, index : 2300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5678883798417326, loss : 0.31451958417892456, index : 2400, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5697221111555378, loss : 0.1412149965763092, index : 2500, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5706939638600547, loss : 0.016025932505726814, index : 2600, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5717789707515741, loss : 0.0014189396752044559, index : 2700, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.573545162441986, loss : 0.01428197231143713, index : 2800, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5751465012064808, loss : 0.054980672895908356, index : 2900, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.575224925024992, loss : 0.027373747900128365, index : 3000, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5764672686230247, loss : 0.025336654856801033, index : 3100, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.5783348953452045, loss : 0.07626248896121979, index : 3200, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

accuracy : 0.578688276279915, loss : 0.0633869543671608, index : 3300, learning_rate : 3e-06, reg : 1e-05, batch_size : 8 

